iter	Passed	Remaining
241	749	2346
242	751	2342
243	755	2340
244	758	2336
245	761	2333
246	764	2329
247	766	2325
248	769	2321
249	772	2318
250	775	2315
251	778	2311
252	781	2307
253	784	2303
254	787	2299
255	790	2296
256	793	2293
257	796	2289
258	799	2286
259	802	2283
260	805	2280
261	808	2276
262	811	2273
263	814	2269
264	817	2266
265	820	2263
266	823	2259
267	826	2257
268	829	2254
269	832	2251
270	835	2247
271	838	2244
272	841	2241
273	844	2238
274	847	2233
275	849	2229
276	852	2224
277	854	2220
278	857	2215
279	859	2210
280	862	2206
281	864	2202
282	867	2197
283	870	2193
284	873	2190
285	876	2186
286	878	2183
287	881	2179
288	884	2175
289	887	2172
290	890	2169
291	893	2165
292	896	2162
293	899	2159
294	902	2156
295	905	2153
296	908	2151
297	911	2147
298	914	2144
299	917	2141
300	921	2138
301	923	2135
302	926	2131
303	929	2128
304	932	2125
305	935	2122
306	938	2118
307	941	2115
308	944	2111
309	947	2108
310	950	2105
311	953	2102
312	955	2098
313	959	2095
314	961	2091
315	964	2088
316	967	2085
317	970	2081
318	973	2077
319	975	2073
320	979	2070
321	982	2067
322	984	2064
323	987	2060
324	990	2057
325	993	2054
326	996	2051
327	999	2047
328	1002	2044
329	1005	2041
330	1008	2038
331	1011	2034
332	1014	2031
333	1017	2027
334	1019	2024
335	1022	2020
336	1025	2017
337	1027	2013
338	1030	2009
339	1033	2006
340	1036	2003
341	1039	2000
342	1042	1996
343	1044	1992
344	1047	1988
345	1050	1985
346	1052	1981
347	1055	1977
348	1058	1973
349	1060	1969
350	1063	1966
351	1066	1963
352	1069	1960
353	1072	1956
354	1075	1953
355	1078	1950
356	1081	1947
357	1083	1943
358	1087	1940
359	1090	1938
360	1093	1935
361	1096	1932
362	1099	1929
363	1102	1927
364	1105	1923
365	1108	1920
366	1111	1917
367	1114	1914
368	1117	1911
369	1120	1908
370	1123	1905
371	1126	1902
372	1130	1900
373	1141	1910
374	1144	1907
375	1147	1904
376	1150	1901
377	1153	1898
378	1156	1895
379	1159	1892
380	1162	1888
381	1165	1885
382	1168	1882
383	1171	1879
384	1174	1876
385	1177	1872
386	1180	1869
387	1183	1866
388	1185	1862
389	1188	1859
390	1191	1856
391	1194	1852
392	1197	1849
393	1200	1846
394	1203	1842
395	1205	1839
396	1208	1836
397	1211	1832
398	1213	1827
399	1216	1824
400	1219	1821
401	1222	1818
402	1225	1815
403	1228	1812
404	1231	1809
405	1234	1806
406	1238	1803
407	1240	1800
408	1243	1797
409	1246	1793
410	1249	1790
411	1252	1786
412	1255	1784
413	1258	1780
414	1261	1777
415	1263	1774
416	1267	1771
417	1270	1768
418	1273	1765
419	1276	1762
420	1279	1759
421	1282	1756
422	1285	1753
423	1287	1749
424	1290	1746
425	1293	1742
426	1296	1739
427	1298	1736
428	1301	1732
429	1304	1728
430	1307	1725
431	1309	1722
432	1312	1718
433	1315	1715
434	1318	1711
435	1320	1708
436	1323	1704
437	1326	1701
438	1328	1698
439	1331	1694
440	1334	1691
441	1336	1687
442	1339	1683
443	1341	1680
444	1344	1676
445	1350	1677
446	1353	1673
447	1356	1670
448	1359	1667
449	1362	1664
450	1365	1661
451	1367	1657
452	1370	1654
453	1373	1651
454	1376	1648
455	1379	1645
456	1382	1642
457	1385	1639
458	1388	1636
459	1391	1633
460	1394	1630
461	1397	1626
462	1400	1623
463	1402	1620
464	1405	1617
465	1408	1614
466	1411	1611
467	1414	1608
468	1417	1604
469	1420	1602
470	1423	1599
471	1426	1596
472	1429	1592
473	1432	1589
474	1434	1585
475	1437	1582
476	1439	1578
477	1442	1575
478	1445	1571
479	1447	1568
480	1450	1564
481	1452	1561
482	1455	1557
483	1458	1554
484	1461	1551
485	1463	1548
486	1466	1544
487	1469	1541
488	1472	1538
489	1474	1535
490	1477	1531
491	1480	1528
492	1483	1525
493	1485	1522
494	1488	1518
495	1491	1515
496	1494	1512
497	1496	1508
498	1499	1505
499	1502	1502
500	1505	1499
501	1507	1495
502	1510	1492
503	1513	1489
504	1516	1486
505	1519	1483
506	1522	1480
507	1524	1476
508	1527	1473
509	1530	1470
510	1533	1467
511	1536	1464
512	1539	1461
513	1541	1457
514	1544	1454
515	1547	1451
516	1550	1448
517	1552	1444
518	1555	1441
519	1558	1438
520	1561	1435
521	1564	1432
522	1567	1429
523	1570	1426
524	1573	1423
525	1577	1421
526	1580	1418
527	1583	1415
528	1586	1412
529	1590	1410
530	1593	1407
531	1596	1404
532	1599	1401
533	1603	1398
534	1606	1396
535	1609	1393
536	1612	1390
537	1615	1387
538	1618	1384
539	1622	1381
540	1624	1378
541	1627	1375
542	1631	1372
543	1634	1370
544	1637	1367
545	1640	1364
546	1644	1361
547	1647	1358
548	1650	1355
549	1653	1352
550	1656	1349
551	1659	1346
552	1662	1343
553	1665	1340
554	1668	1337
555	1671	1334
556	1674	1331
557	1677	1328
558	1680	1325
559	1683	1322
560	1686	1319
561	1689	1316
562	1692	1313
563	1695	1310
564	1698	1307
565	1701	1304
566	1704	1301
567	1707	1298
568	1710	1295
569	1713	1292
570	1715	1289
571	1718	1286
572	1721	1283
573	1724	1280
574	1727	1277
575	1730	1274
576	1733	1270
577	1736	1267
578	1739	1264
579	1742	1261
580	1744	1258
581	1747	1255
582	1750	1252
583	1753	1248
584	1756	1245
585	1759	1242
586	1761	1239
587	1764	1236
588	1767	1233
589	1770	1230
590	1773	1227
591	1776	1224
592	1778	1220
593	1781	1217
594	1784	1214
595	1787	1211
596	1790	1208
597	1792	1205
598	1795	1202
599	1798	1198
600	1801	1195
601	1803	1192
602	1806	1189
603	1809	1186
604	1812	1183
605	1815	1180
606	1818	1177
607	1821	1174
608	1824	1171
609	1827	1168
610	1830	1165
611	1832	1162
612	1836	1159
613	1839	1156
614	1841	1153
615	1844	1149
616	1847	1146
617	1850	1143
618	1852	1140
619	1855	1137
620	1858	1133
621	1860	1130
622	1863	1127
623	1865	1124
624	1868	1121
625	1871	1117
626	1873	1114
627	1876	1111
628	1879	1108
629	1881	1105
630	1884	1102
631	1887	1099
632	1890	1095
633	1893	1092
634	1895	1089
635	1898	1086
636	1901	1083
637	1904	1080
638	1906	1077
639	1909	1074
640	1912	1071
641	1915	1068
642	1918	1064
643	1924	1063
644	1927	1060
645	1930	1057
646	1932	1054
647	1935	1051
648	1938	1048
649	1941	1045
650	1944	1042
651	1948	1039
652	1951	1036
653	1954	1033
654	1957	1030
655	1960	1028
656	1963	1025
657	1966	1022
658	1969	1019
659	1971	1015
660	1974	1012
661	1977	1009
662	1980	1006
663	1983	1003
664	1986	1000
665	1988	997
666	1991	994
667	1994	991
668	1996	988
669	1999	984
670	2002	981
671	2005	978
672	2007	975
673	2011	972
674	2013	969
675	2016	966
676	2018	963
677	2021	960
678	2024	956
679	2026	953
680	2029	950
681	2031	947
682	2034	944
683	2036	940
684	2039	937
685	2041	934
686	2044	931
687	2047	928
688	2050	925
689	2052	922
690	2054	918
691	2057	915
692	2060	912
693	2063	909
694	2066	906
695	2069	903
696	2071	900
697	2074	897
698	2077	894
699	2079	891
700	2082	888
701	2085	885
702	2088	882
703	2091	879
704	2093	876
705	2096	873
706	2099	869
707	2101	866
708	2104	863
709	2107	860
710	2109	857
711	2112	854
712	2115	851
713	2118	848
714	2120	845
715	2123	842
716	2126	839
717	2129	836
718	2131	833
719	2134	829
720	2136	826
721	2139	823
722	2142	820
723	2145	817
724	2147	814
725	2150	811
726	2153	808
727	2156	805
728	2159	802
729	2162	799
730	2164	796
731	2167	793
732	2170	790
733	2172	787
734	2175	784
735	2178	781
736	2181	778
737	2184	775
738	2187	772
739	2190	769
740	2192	766
741	2195	763
742	2198	760
743	2201	757
744	2203	754
745	2206	751
746	2209	748
747	2211	745
748	2214	742
749	2217	739
750	2220	736
751	2223	733
752	2226	730
753	2234	729
754	2238	726
755	2241	723
756	2244	720
757	2247	717
758	2251	714
759	2253	711
760	2256	708
761	2260	705
762	2262	702
763	2265	699
764	2268	696
765	2271	693
766	2274	690
767	2277	688
768	2280	685
769	2284	682
770	2287	679
771	2290	676
772	2293	673
773	2296	670
774	2298	667
775	2301	664
776	2304	661
777	2307	658
778	2310	655
779	2313	652
780	2316	649
781	2319	646
782	2322	643
783	2325	640
784	2328	637
785	2331	634
786	2334	631
787	2337	628
788	2340	625
789	2343	622
790	2346	619
791	2348	616
792	2351	613
793	2354	610
794	2357	607
795	2360	605
796	2363	602
797	2366	599
798	2369	596
799	2372	593
800	2375	590
801	2378	587
802	2381	584
803	2384	581
804	2387	578
805	2390	575
806	2393	572
807	2395	569
808	2398	566
809	2402	563
810	2405	560
811	2408	557
812	2410	554
813	2413	551
814	2416	548
815	2419	545
816	2421	542
817	2424	539
818	2427	536
819	2429	533
820	2432	530
821	2435	527
822	2438	524
823	2441	521
824	2444	518
825	2447	515
826	2450	512
827	2453	509
828	2456	506
829	2459	503
830	2462	500
831	2465	497
832	2468	494
833	2471	491
834	2474	488
835	2477	486
836	2480	483
837	2483	480
838	2486	477
839	2489	474
840	2492	471
841	2495	468
842	2498	465
843	2501	462
844	2504	459
845	2507	456
846	2510	453
847	2513	450
848	2516	447
849	2519	444
850	2522	441
851	2525	438
852	2528	435
853	2531	432
854	2534	429
855	2537	426
856	2540	423
857	2543	420
858	2546	417
859	2549	414
860	2552	412
861	2554	409
862	2558	406
863	2561	403
864	2563	400
865	2566	397
866	2569	394
867	2572	391
868	2575	388
869	2578	385
870	2581	382
871	2584	379
872	2587	376
873	2590	373
874	2593	370
875	2596	367
876	2599	364
877	2601	361
878	2604	358
879	2607	355
880	2609	352
881	2612	349
882	2614	346
883	2617	343
884	2619	340
885	2622	337
886	2625	334
887	2628	331
888	2630	328
889	2633	325
890	2635	322
891	2638	319
892	2641	316
893	2644	313
894	2646	310
895	2649	307
896	2653	304
897	2655	301
898	2659	298
899	2662	295
900	2664	292
901	2668	289
902	2670	286
903	2673	283
904	2676	280
905	2679	277
906	2682	275
907	2685	272
908	2688	269
909	2691	266
910	2693	263
911	2696	260
912	2699	257
913	2702	254
914	2705	251
915	2707	248
916	2710	245
917	2713	242
918	2716	239
919	2719	236
920	2722	233
921	2724	230
922	2727	227
923	2730	224
924	2733	221
925	2736	218
926	2738	215
927	2749	213
928	2752	210
929	2755	207
930	2758	204
931	2761	201
932	2764	198
933	2767	195
934	2770	192
935	2772	189
936	2775	186
937	2778	183
938	2781	180
939	2783	177
940	2786	174
941	2789	171
942	2792	168
943	2794	165
944	2797	162
945	2799	159
946	2802	156
947	2805	153
948	2807	150
949	2810	147
950	2812	144
951	2815	141
952	2817	138
953	2820	135
954	2822	133
955	2825	130
956	2828	127
957	2830	124
958	2833	121
959	2837	118
960	2840	115
961	2843	112
962	2846	109
963	2849	106
964	2852	103
965	2855	100
966	2858	97
967	2861	94
968	2864	91
969	2867	88
970	2870	85
971	2874	82
972	2876	79
973	2879	76
974	2882	73
975	2885	70
976	2888	67
977	2891	65
978	2894	62
979	2897	59
980	2899	56
981	2902	53
982	2905	50
983	2908	47
984	2911	44
985	2914	41
986	2916	38
987	2919	35
988	2922	32
989	2926	29
990	2929	26
991	2932	23
992	2935	20
993	2938	17
994	2941	14
995	2944	11
996	2947	8
997	2949	5
998	2952	2
999	2955	0
